BirimSaat;Pazartesi;Sali;Carsamba;Persembe;Cuma
08:50-09:35;https://teams.microsoft.com/l/channel/19%3ae95c8dae1253479d9af834741ed049c6%40thread.tacv2/14BEB4008%2520M%25C4%25B0M%2520TEN%25C4%25B0S%2520YEN%25C4%25B0%2520BA%25C5%259ELAYAN%2520II?groupId=3ed18996-3535-48ab-83cc-2a9657f39186&tenantId=fa123030-b0ee-409c-97d1-0863e9626cf8;;;;Mikroiþlemciler
09:40-10:25;Doðal Dil Ýþlemeye Giriþ;;Genomik Hesaplama;;Mikroiþlemciler
10:30-11:15;https://teams.microsoft.com/dl/launcher/launcher.html?url=%2F_%23%2Fl%2Fmeetup-join%2F19%3ABqdeNmGQlfj7xRd5oByoijF_q4AjC-UABQ2iBNdAOME1%40thread.tacv2%2F1676972336571%3Fcontext%3D%257b%2522Tid%2522%253a%2522fa123030-b0ee-409c-97d1-0863e9626cf8%2522%252c%2522Oid%2522%253a%252238920691-4204-4cb1-a6e5-fb4a38296749%2522%257d%26anon%3Dtrue&type=meetup-join&deeplinkId=d720eafd-2dd3-4986-a6f7-c6d286466fbb&directDl=true&msLaunch=true&enableMobilePage=true&suppressPrompt=true;;Genomik Hesaplama;;Mikroiþlemciler
11:15-12:00;Doðal Dil Ýþlemeye Giriþ;;Genomik Hesaplama;;Mikroiþlemciler
12:05-12:50;;;;;
13:00-13:45;;Voleybol;;;
13:50-14:35;Bilgisayar Ve Að Güvenliði;https://teams.microsoft.com/l/channel/19%3ab5a8679148d040c3945e29ad7000778f%40thread.tacv2/VOLEYBOL%2520YEN%25C4%25B0%2520BA%25C5%259ELAYAN-II%2520N%25C3%25964?groupId=3badc19e-fd82-4d5f-a341-c74774b6fe84&tenantId=fa123030-b0ee-409c-97d1-0863e9626cf8;;;Görsel Programlama
14:40-15:25;Bilgisayar Ve Að Güvenliði;;;;Görsel Programlama
15:30-16:15;Bilgisayar Ve Að Güvenliði;;;;Görsel Programlama
;;;;;
;;;;;
;;;;;
;;;;;
